Count,Unique postcodes,Name
32,WC1E 6BT,university college london
30,EH1 1HT,University of Edinburgh
28,OX1 2JD,oxford
25,M13 9PL,manchester
22,SW7 2AZ,imperial college london
21,SO17 1BJ,University of Southampton
20,CB2 1TN,cambridge
20,BS8 1TH,bristol
16,S10 2TN,sheffield
11,WC2R 2LS,king college london
10,CV4 7AL,warwick
8,LS2 9JT,leeds
8,NR4 7UH,NBI Partnership Limited
8,NG7 2RD,nottingham
8,DD1 4HN,dundee
7,EH9 3JZ,University of Edinburgh
7,RG6 6UR,reading
7,KY16 9AJ,st andrews
6,B15 2TT,birmingham
5,DH1 3LE,durham
4,CB10 1SD,The European Bioinformatics Institute
4,OX11 0DE,Diamond Light Source Ltd
4,SY23 2AX,prifysgol aberystwyth
4,BA2 7AY,bath
3,NE1 8ST,northumbria newcastle
3,CF10 3AT,cardiff
3,HD1 3DH,huddersfield
3,L69 3GG,University of Liverpool
3,E1 4NS,queen mary london
3,LA1 4YW,University of Lancaster
3,MK43 0AL,cranfield
3,SN2 1SZ,The Alan Turing Institute
3,EX4 4PY,exeter
2,MK7 6AA,open
2,G1 1XQ,strathclyde
2,SA2 8PP,swansea
1,SW17 0RE,st george  london
1,NW1 0TU,The Royal Veterinary College
1,EH11 4BN,edinburgh napier
1,WC1E 7HX,birkbeck college
1,PL4 8AA,plymouth
1,LL57 2DG,bangor
1,YO10 5DD,york
1,HU6 7RX,hull
1,PL1 3DH,Plymouth Marine Laboratory
1,OX14 3DB,United Kingdom Atomic Energy Authority
1,SW7 3RP,institute of cancer research royal cancer hospital
1,CO4 3SQ,essex
1,E16 2RD,east london
1,CB10 1SA,Genome Research Limited
1,GU2 7XH,surrey
1,M15 6BH,manchester metropolitan
1,BT7 1NN,queen  belfast
1,NG12 5GG,British Geological Survey
1,PL1 2PB,Sir Alister Hardy Foundation for Ocean Science
1,CT2 7NZ,kent
1,NW1 2BE,UK Centre for Medical Research & Innovation (UKCMRI)
1,AB24 3FX,aberdeen
1,PO1 2UP,portsmouth
1,WC2A 2AE,london school of economics  political science
1,SE14 6NW,goldsmiths college
1,BD7 1DP,bradford
1,SN2 1UH,Biotechnology and Biological Sciences Research Council
1,BS16 1QU,Jisc
1,SW15 5PJ,roehampton